P92=158.3018,44.7044,33.4467,-2.3082,0.0000,;
P93=159.3648,43.1842,35.4827,-1.1689,0.0000,;
P94=160.4278,41.6639,37.5186,-0.0297,0.0000,;
P95=161.4908,40.1436,39.5546,1.1095,0.0000,;
P96=162.5538,38.6233,41.5905,2.2488,0.0000,;
P97=163.6168,37.1030,43.6264,3.3880,0.0000,;
P98=164.6798,35.5827,45.6624,4.5272,0.0000,;
P99=165.7428,34.0624,47.6983,5.6665,0.0000,;
P100=166.8058,32.5421,49.7343,6.8057,0.0000,;
P101=167.6030,31.5108,50.6050,8.2074,0.0000,;
P102=168.4003,30.4796,51.4758,9.6090,0.0000,;
P103=168.9318,29.9374,51.1814,11.2731,0.0000,;
P104=168.9318,30.4878,48.3668,13.5373,0.0000,;
P105=168.9318,31.1688,45.3296,15.8934,0.0000,;
P106=168.9318,32.0030,42.0244,18.3644,0.0000,;
P107=168.9318,33.0231,38.3849,20.9839,0.0000,;
P108=168.9318,30.1630,42.8191,19.4098,0.0000,;
P109=168.9318,27.5017,46.8182,18.0719,0.0000,;
P110=168.9318,24.9877,50.4841,16.9201,0.0000,;
P111=168.9318,22.5871,53.8830,15.9217,0.0000,;
P112=168.9318,20.2762,57.0612,15.0544,0.0000,;
P113=168.9318,19.1744,57.3491,14.6838,1.4777,;
P114=168.9318,17.5982,59.2206,13.7963,2.3483,;
P115=168.9318,16.0220,61.0921,12.9087,3.2189,;
P116=168.9318,14.5403,62.8697,12.0638,4.0527,;
P117=168.9318,13.0586,64.6474,11.2189,4.8866,;
P118=168.9318,11.7113,66.2593,10.4054,5.7556,;
P119=168.9318,10.3639,67.8712,9.5919,6.6246,;
P120=168.9318,9.1025,69.4227,8.7912,7.4636,;
P121=168.9318,7.8410,70.9743,7.9904,8.3026,;
P122=168.9318,7.1725,70.9321,7.7031,9.6315,;
P123=168.9318,6.5040,70.8899,7.4157,10.9605,;
P124=168.9318,5.3796,72.2839,6.6586,11.8026,;
P125=168.9318,4.2552,73.6779,5.9014,12.6447,;
P126=168.9318,3.1375,75.0397,5.1915,13.4590,;
P127=168.9318,2.0198,76.4014,4.4816,14.2733,;
P128=168.9318,1.4356,76.2661,4.2800,15.5177,;
P129=168.9318,0.8513,76.1308,4.0783,16.7620,;
P130=168.9318,0.3304,75.9769,3.8618,17.9763,;
P131=168.9318,-0.1904,75.8231,3.6454,19.1906,;
P132=168.9318,-0.6475,75.6563,3.4075,20.3761,;
P133=168.9318,-1.1047,75.4895,3.1695,21.5616,;
P134=168.9318,-1.5538,75.3213,2.9438,22.7246,;
P135=168.9318,-2.0030,75.1530,2.7180,23.8876,;
P136=168.9318,-2.4239,74.9847,2.4824,25.0307,;
P137=168.9318,-2.8449,74.8163,2.2469,26.1738,;
P138=168.9318,-3.2519,74.6663,1.9880,27.3092,;
P139=168.9318,-3.6588,74.5163,1.7291,28.4445,;
P140=168.9318,-3.5452,72.9497,1.9767,29.8972,;
P141=168.9318,-3.4316,71.3831,2.2243,31.3498,;
P142=168.9318,-2.7931,68.3822,2.9919,33.1178,;
P143=168.9318,-2.1547,65.3812,3.7595,34.8858,;
P144=168.9318,-1.5163,62.3803,4.5271,36.6538,;
P145=168.9318,-0.8778,59.3793,5.2947,38.4219,;
P146=168.9318,-0.2394,56.3783,6.0623,40.1899,;
P147=168.9318,0.3991,53.3774,6.8299,41.9579,;
P148=168.9318,1.0375,50.3764,7.5975,43.7259,;
P149=168.9318,1.6759,47.3754,8.3650,45.4939,;
P150=168.9318,2.3144,44.3745,9.1326,47.2619,;
P151=168.9318,2.9528,41.3735,9.9002,49.0299,;
P152=168.9318,3.5913,38.3725,10.6678,50.7979,;
P153=168.9318,4.2297,35.3716,11.4354,52.5659,;
P154=168.9318,4.8682,32.3706,12.2030,54.3339,;
P155=168.9318,5.5066,29.3696,12.9706,56.1020,;
P156=168.9318,6.1450,26.3687,13.7382,57.8700,;
P157=168.9318,6.7835,23.3677,14.5058,59.6380,;
P158=168.9318,7.4219,20.3668,15.2734,61.4060,;
P159=168.9318,8.0604,17.3658,16.0410,63.1740,;
P160=168.9318,8.6988,14.3648,16.8086,64.9420,;
P161=168.9318,9.3373,11.3639,17.5762,66.7100,;
P162=168.9318,9.9757,8.3629,18.3438,68.4780,;
P163=168.9318,10.6141,5.3619,19.1114,70.2460,;
P164=168.9318,11.2526,2.3610,19.8790,72.0140,;
P165=168.9318,11.8910,-0.6400,20.6466,73.7820,;
P166=168.9318,12.5295,-3.6410,21.4142,75.5501,;
P167=168.9318,13.1679,-6.6419,22.1818,77.3181,;
P168=168.9318,13.8063,-9.6429,22.9494,79.0861,;
P169=168.9318,14.4448,-12.6439,23.7170,80.8541,;
P170=168.9318,15.0832,-15.6448,24.4846,82.6221,;
P171=168.9318,15.7217,-18.6458,25.2521,84.3901,;
P172=168.9318,16.3601,-21.6467,26.0197,86.1581,;
P173=168.9318,16.9986,-24.6477,26.7873,87.9261,;
P174=168.9318,17.6370,-27.6487,27.5549,89.6941,;
P175=168.9318,18.2754,-30.6496,28.3225,91.4621,;
P176=168.9318,18.8607,-33.4005,29.0262,93.0828,;
P177=168.9318,19.4459,-36.1514,29.7298,94.7035,;
P178=168.9318,19.9247,-38.4021,30.3055,96.0295,;
P179=168.9318,20.4036,-40.6529,30.8812,97.3555,;
P180=168.9318,20.8292,-42.6535,31.3929,98.5342,;
P181=168.9318,21.2548,-44.6541,31.9046,99.7128,;
P182=168.9318,21.6805,-46.6548,32.4164,100.8915,;
P183=168.9318,22.1061,-48.6554,32.9281,102.0702,;
P184=168.9318,22.5317,-50.6561,33.4398,103.2489,;
P185=168.9318,22.9573,-52.6567,33.9516,104.4275,;
P186=168.9318,23.3830,-54.6574,34.4633,105.6062,;
P187=168.9318,23.8086,-56.6580,34.9750,106.7849,;
P188=168.9318,24.4529,-58.2443,35.1196,107.6689,;
P189=168.9318,25.0972,-59.8307,35.2641,108.5529,;
P190=168.9318,25.9602,-61.0027,35.0415,109.1422,;
P191=168.9318,27.2255,-61.2689,34.0425,109.1422,;
P192=168.9318,28.4552,-61.4587,33.0025,109.1422,;
P193=168.9318,29.6487,-61.5724,31.9227,109.1422,;
P194=168.9318,30.8052,-61.6102,30.8041,109.1422,;
P195=168.9318,31.9237,-61.5723,29.6476,109.1422,;
P196=168.9318,33.0035,-61.4586,28.4541,109.1422,;
P197=168.9318,34.0434,-61.2687,27.2244,109.1422,;
P198=168.9318,35.0424,-61.0024,25.9590,109.1422,;
P199=168.9318,35.9993,-60.6589,24.6586,109.1422,;
P200=168.7779,37.5897,-61.0333,26.3358,109.1422,;
P201=168.4907,38.9125,-60.3721,28.6915,109.1422,;
P202=168.2034,40.2353,-59.7108,31.0472,109.1422,;
P203=167.7829,41.2905,-58.0139,34.0814,109.1422,;
P204=167.3623,42.3457,-56.3169,37.1156,109.1422,;
P205=166.9418,43.4009,-54.6200,40.1498,109.1422,;
P206=166.5212,44.4561,-52.9230,43.1840,109.1422,;
P207=166.1007,45.5113,-51.2261,46.2181,109.1422,;
P208=165.6801,46.5665,-49.5291,49.2523,109.1422,;
P209=165.2596,47.6217,-47.8322,52.2865,109.1422,;
P210=164.8391,48.6770,-46.1353,55.3207,109.1422,;
P211=164.4185,49.7322,-44.4383,58.3549,109.1422,;
P212=163.9980,50.7874,-42.7414,61.3890,109.1422,;
P213=163.5774,51.8426,-41.0444,64.4232,109.1422,;
P214=163.1569,52.8978,-39.3475,67.4574,109.1422,;
P215=162.7363,53.9530,-37.6505,70.4916,109.1422,;
P216=162.3158,55.0082,-35.9536,73.5258,109.1422,;
P217=161.8952,56.0634,-34.2566,76.5599,109.1422,;
P218=161.4747,57.1186,-32.5597,79.5941,109.1422,;
P219=161.0541,58.1738,-30.8628,82.6283,109.1422,;
P220=160.6336,59.2290,-29.1658,85.6625,109.1422,;
P221=160.2131,60.2842,-27.4689,88.6967,109.1422,;
P222=159.7925,61.3394,-25.7719,91.7308,109.1422,;
P223=159.3720,62.3947,-24.0750,94.7650,109.1422,;
P224=158.9514,63.4499,-22.3780,97.7992,109.1422,;
P225=158.5309,64.5051,-20.6811,100.8334,109.1422,;
P226=158.1103,65.5603,-18.9841,103.8676,109.1422,;
P227=157.6898,66.6155,-17.2872,106.9017,109.1422,;
P228=157.2692,67.6707,-15.5902,109.9359,109.1422,;
P229=156.8487,68.7259,-13.8933,112.9701,109.1422,;
P230=156.4281,69.7811,-12.1964,116.0043,109.1422,;
P231=156.0076,70.8363,-10.4994,119.0385,109.1422,;
P232=155.5870,71.8915,-8.8025,122.0726,109.1422,;
P233=155.1665,72.9467,-7.1055,125.1068,109.1422,;
P234=154.7460,74.0019,-5.4086,128.1410,109.1422,;
P235=154.3254,75.0572,-3.7116,131.1752,109.1422,;
P236=153.9049,76.1124,-2.0147,134.2094,109.1422,;
P237=153.4843,77.1676,-0.3177,137.2435,109.1422,;
P238=153.0638,78.2228,1.3792,140.2777,109.1422,;
P239=152.6432,79.2780,3.0762,143.3119,109.1422,;
P240=152.2227,80.3332,4.7731,146.3461,109.1422,;
P241=151.8021,81.3884,6.4700,149.3803,109.1422,;
P242=151.3816,82.4436,8.1670,152.4144,109.1422,;
P243=151.0311,83.3229,9.5811,154.9429,109.1422,;
P244=150.6807,84.2023,10.9952,157.4714,109.1422,;
P245=150.4003,84.9058,12.1265,159.4942,109.1422,;
P246=150.1199,85.6092,13.2578,161.5170,109.1422,;
P247=149.8396,86.3127,14.3891,163.5398,109.1422,;
P248=149.5592,87.0162,15.5204,165.5625,109.1422,;
P249=149.2789,87.7196,16.6517,167.5853,109.1422,;
P250=149.2788,89.2613,15.5356,167.1597,109.1422,;
P251=149.2788,90.9783,14.0630,166.9154,109.1422,;
P252=149.2788,92.9337,12.1064,166.9166,109.1422,;
P253=149.2788,95.2751,9.3697,167.3119,109.1422,;
P254=149.2788,98.6115,4.6335,168.7116,109.1422,;
P255=149.2788,90.3576,21.5185,160.0806,109.1422,;
P256=149.2788,86.2578,30.1083,155.5906,109.1422,;
P257=149.2788,83.1284,36.7710,152.0573,109.1422,;
P258=149.2788,80.5106,42.4251,149.0210,109.1422,;
P259=149.2788,78.2235,47.4329,146.3003,109.1422,;
P260=149.2788,76.3212,48.3833,143.4749,109.1736,;
P261=149.2788,74.4947,49.2147,140.7950,109.2035,;
P262=149.2788,72.6682,50.0460,138.1151,109.2334,;
P263=149.2788,70.9741,50.7402,135.6360,109.2611,;
P264=149.2788,69.2800,51.4345,133.1569,109.2887,;
P265=149.2788,67.6507,52.0812,130.7990,109.3146,;
P266=149.2788,66.0214,52.7279,128.4411,109.3405,;
P267=149.2788,64.6671,51.5103,126.0692,109.3824,;
P268=149.2788,63.3127,50.2927,123.6974,109.4244,;
P269=149.2788,62.2251,47.2402,121.2457,109.4835,;
P270=149.2788,61.1375,44.1878,118.7940,109.5425,;
P271=149.2788,60.0499,41.1353,116.3423,109.6016,;
P272=149.2788,58.9623,38.0829,113.8906,109.6607,;
P273=149.2788,57.8747,35.0304,111.4389,109.7198,;
P274=149.2788,56.7870,31.9780,108.9872,109.7789,;
P275=149.2788,55.6994,28.9255,106.5355,109.8379,;
P276=149.2788,54.6118,25.8731,104.0837,109.8970,;
P277=149.2788,53.5242,22.8206,101.6320,109.9561,;
P278=149.2788,52.4366,19.7682,99.1803,110.0152,;
P279=149.2788,51.3489,16.7157,96.7286,110.0743,;
P280=149.2788,50.2613,13.6633,94.2769,110.1333,;
P281=149.2788,49.1737,10.6108,91.8252,110.1924,;
P282=149.2788,48.0861,7.5584,89.3735,110.2515,;
P283=149.2788,46.9985,4.5059,86.9218,110.3106,;
P284=149.2788,45.9109,1.4535,84.4701,110.3697,;
P285=149.2788,44.8232,-1.5990,82.0184,110.4288,;
P286=149.2788,43.7356,-4.6514,79.5667,110.4878,;
P287=149.2788,42.6480,-7.7039,77.1150,110.5469,;
P288=149.2788,41.5604,-10.7563,74.6633,110.6060,;
P289=149.2788,40.4728,-13.8088,72.2116,110.6651,;
P290=149.2788,39.3851,-16.8612,69.7599,110.7242,;
P291=149.2788,38.2975,-19.9137,67.3082,110.7832,;
P292=149.2788,37.2099,-22.9661,64.8564,110.8423,;
P293=149.2788,36.1223,-26.0186,62.4047,110.9014,;
P294=149.2788,35.0347,-29.0710,59.9530,110.9605,;
P295=149.2788,33.9471,-32.1235,57.5013,111.0196,;
P296=149.2788,32.8594,-35.1759,55.0496,111.0786,;
P297=149.2788,31.7718,-38.2284,52.5979,111.1377,;
P298=149.2788,30.6842,-41.2808,50.1462,111.1968,;
P299=149.2788,29.5966,-44.3333,47.6945,111.2559,;
P300=149.2788,28.5090,-47.3857,45.2428,111.3150,;
P301=149.2788,27.5573,-50.0566,43.0976,111.3667,;
P302=149.2788,26.6056,-52.7275,40.9523,111.4184,;
P303=149.2788,25.7899,-55.0168,39.1135,111.4627,;
P304=149.2788,24.9742,-57.3062,37.2747,111.5070,;
P305=149.2788,24.1585,-59.5955,35.4360,111.5513,;
P306=149.2788,25.4546,-59.9425,34.4869,111.5513,;
P307=149.2788,26.7153,-60.2116,33.4953,111.5513,;
P308=149.2788,27.9399,-60.4033,32.4624,111.5512,;
P309=149.2788,29.1278,-60.5182,31.3893,111.5512,;
P310=149.2788,30.2783,-60.5564,30.2771,111.5512,;
MOVJ P1, V70, Z1;
MOVJ P2, V70, Z1;
MOVJ P3, V70, Z1;
MOVJ P4, V70, Z1;
MOVJ P5, V70, Z1;
MOVJ P6, V70, Z1;
MOVJ P7, V70, Z1;
MOVJ P8, V70, Z1;
MOVJ P9, V70, Z1;
MOVJ P10, V70, Z1;
MOVJ P11, V70, Z1;
MOVJ P12, V70, Z1;
MOVJ P13, V70, Z1;
MOVJ P14, V70, Z1;
MOVJ P15, V70, Z1;
MOVJ P16, V70, Z1;
MOVJ P17, V70, Z1;
MOVJ P18, V70, Z1;
MOVJ P19, V70, Z1;
MOVJ P20, V70, Z1;
MOVJ P21, V70, Z1;
MOVJ P22, V70, Z1;
MOVJ P23, V70, Z1;
MOVJ P24, V70, Z1;
MOVJ P25, V70, Z1;
MOVJ P26, V70, Z1;
MOVJ P27, V70, Z1;
MOVJ P28, V70, Z1;
MOVJ P29, V70, Z1;
MOVJ P30, V70, Z1;
MOVJ P31, V70, Z1;
MOVJ P32, V70, Z1;
MOVJ P33, V70, Z1;
MOVJ P34, V70, Z1;
MOVJ P35, V70, Z1;
MOVJ P36, V70, Z1;
MOVJ P37, V70, Z1;
MOVJ P38, V70, Z1;
MOVJ P39, V70, Z1;
MOVJ P40, V70, Z1;
MOVJ P41, V70, Z1;
MOVJ P42, V70, Z1;
MOVJ P43, V70, Z1;
MOVJ P44, V70, Z1;
