P87=73.9874,-22.0067,37.8984,-74.2326,-84.9687,;
P88=73.9874,-20.8068,36.6915,-74.2230,-85.7873,;
P89=73.9874,-19.6069,35.4846,-74.2134,-86.6060,;
P90=73.9874,-18.3885,34.1561,-74.1006,-87.4371,;
P91=73.9874,-17.1700,32.8276,-73.9878,-88.2683,;
P92=73.9874,-15.9284,31.3685,-73.7676,-89.1106,;
P93=73.9874,-14.6868,29.9094,-73.5474,-89.9529,;
P94=73.9874,-13.4148,28.3350,-73.2422,-90.8023,;
P95=73.9874,-12.1428,26.7606,-72.9369,-91.6516,;
P96=73.9874,-10.8320,25.0696,-72.5538,-92.5060,;
P97=73.9874,-9.5213,23.3786,-72.1708,-93.3605,;
P98=73.9874,-9.8710,22.8795,-71.9609,-94.0527,;
P99=73.9874,-10.2207,22.3805,-71.7509,-94.7450,;
P100=73.9874,-12.2523,23.1424,-71.7619,-95.2718,;
P101=73.9874,-14.2839,23.9043,-71.7728,-95.7985,;
P102=73.9874,-16.3155,24.6663,-71.7837,-96.3253,;
P103=73.9874,-18.3471,25.4282,-71.7946,-96.8520,;
P104=73.9874,-20.3787,26.1901,-71.8056,-97.3788,;
P105=73.9874,-22.4103,26.9521,-71.8165,-97.9056,;
P106=73.9874,-24.4419,27.7140,-71.8274,-98.4323,;
P107=73.9874,-26.4735,28.4759,-71.8384,-98.9591,;
P108=73.9874,-28.5051,29.2378,-71.8493,-99.4858,;
P109=73.9874,-30.5367,29.9998,-71.8602,-100.0126,;
P110=73.9874,-32.5683,30.7617,-71.8712,-100.5394,;
P111=73.9874,-34.5999,31.5236,-71.8821,-101.0661,;
P112=73.9874,-36.6315,32.2856,-71.8930,-101.5929,;
P113=73.9874,-38.6631,33.0475,-71.9039,-102.1196,;
P114=73.9874,-40.6947,33.8094,-71.9149,-102.6464,;
P115=73.9874,-42.7263,34.5714,-71.9258,-103.1732,;
P116=73.9874,-44.7579,35.3333,-71.9367,-103.6999,;
P117=73.9874,-46.7895,36.0952,-71.9477,-104.2267,;
P118=73.9874,-48.8211,36.8572,-71.9586,-104.7534,;
P119=73.9874,-50.8527,37.6191,-71.9695,-105.2802,;
P120=73.9874,-52.8843,38.3810,-71.9804,-105.8070,;
P121=73.9874,-54.9159,39.1429,-71.9914,-106.3337,;
P122=73.9874,-56.9475,39.9049,-72.0023,-106.8605,;
P123=73.9874,-58.9791,40.6668,-72.0132,-107.3872,;
P124=73.9874,-60.4595,40.6970,-71.5234,-107.7815,;
P125=73.9874,-61.9399,40.7271,-71.0337,-108.1758,;
P126=73.9874,-62.8691,40.0255,-70.0431,-108.4376,;
P127=73.9874,-62.6228,37.7663,-68.0302,-108.4345,;
P128=73.9874,-62.3006,35.4058,-65.9919,-108.4315,;
P129=73.9874,-61.8989,32.9354,-63.9232,-108.4286,;
P130=73.9874,-61.4129,30.3445,-61.8183,-108.4258,;
P131=73.9874,-63.5208,32.9530,-62.3189,-108.4258,;
P132=73.9874,-65.5920,35.4403,-62.7350,-108.4258,;
